month,entity,account,category,amount,currency
2025-04,US,Revenue,Revenue,125000,USD
2025-04,US,COGS,COGS,38000,USD
2025-04,US,Marketing,Opex,14000,USD
2025-04,US,Salaries,Opex,29000,USD
2025-04,EU,Revenue,Revenue,92000,EUR
2025-04,EU,COGS,COGS,28000,EUR
2025-04,EU,Marketing,Opex,11000,EUR
2025-04,EU,Salaries,Opex,24000,EUR

2025-05,US,Revenue,Revenue,135000,USD
2025-05,US,COGS,COGS,40000,USD
2025-05,US,Marketing,Opex,15000,USD
2025-05,US,Salaries,Opex,30000,USD
2025-05,EU,Revenue,Revenue,97000,EUR
2025-05,EU,COGS,COGS,30000,EUR
2025-05,EU,Marketing,Opex,12000,EUR
2025-05,EU,Salaries,Opex,25000,EUR

2025-06,US,Revenue,Revenue,145000,USD
2025-06,US,COGS,COGS,42000,USD
2025-06,US,Marketing,Opex,16000,USD
2025-06,US,Salaries,Opex,31000,USD
2025-06,EU,Revenue,Revenue,102000,EUR
2025-06,EU,COGS,COGS,33000,EUR
2025-06,EU,Marketing,Opex,13000,EUR
2025-06,EU,Salaries,Opex,26000,EUR
